journey_date,train_number,train_name,train_type,season,day_of_week,is_weekend,month,source_code,destination_code,direction,station_code,station_index,total_stops,stops_remaining,distance_km,total_distance_km,remaining_distance_km,distance_to_next_km,progress_ratio,scheduled_departure_hour,scheduled_arrival_minutes,scheduled_elapsed_minutes,cumulative_halt_minutes,halt_minutes,delay_current_minutes,current_speed_kmh,delay_next_minutes,data_source,sim_seed
2024-01-01,22436,Vande Bharat Express,Vande Bharat,winter,0,0,1,NDLS,BSB,DOWN,NDLS,0,4,3,0.0,759.0,759.0,440.0,0.0,6.0,360.0,0.0,0.0,0.0,17.0,92.8,17.5,SYNTHETIC_DEMO,42
2024-01-01,22436,Vande Bharat Express,Vande Bharat,winter,0,0,1,NDLS,BSB,DOWN,CNB,1,4,2,440.0,759.0,319.0,194.0,0.5797101449275363,6.0,608.0,248.0,0.0,2.0,17.5,110.3,18.0,SYNTHETIC_DEMO,42
2024-01-01,22436,Vande Bharat Express,Vande Bharat,winter,0,0,1,NDLS,BSB,DOWN,PRYJ,2,4,1,634.0,759.0,125.0,125.0,0.8353096179183136,6.0,728.0,368.0,2.0,2.0,18.0,77.1,0.0,SYNTHETIC_DEMO,42
2024-01-01,22436,Vande Bharat Express,Vande Bharat,winter,0,0,1,NDLS,BSB,DOWN,BSB,3,4,0,759.0,759.0,0.0,0.0,1.0,6.0,840.0,480.0,4.0,0.0,0.0,69.7,0.0,SYNTHETIC_DEMO,42
2024-01-02,22436,Vande Bharat Express,Vande Bharat,winter,1,0,1,NDLS,BSB,DOWN,NDLS,0,4,3,0.0,759.0,759.0,440.0,0.0,6.0,360.0,0.0,0.0,0.0,22.5,89.7,19.9,SYNTHETIC_DEMO,42
2024-01-02,22436,Vande Bharat Express,Vande Bharat,winter,1,0,1,NDLS,BSB,DOWN,CNB,1,4,2,440.0,759.0,319.0,194.0,0.5797101449275363,6.0,608.0,248.0,0.0,2.0,19.9,94.1,18.1,SYNTHETIC_DEMO,42
2024-01-02,22436,Vande Bharat Express,Vande Bharat,winter,1,0,1,NDLS,BSB,DOWN,PRYJ,2,4,1,634.0,759.0,125.0,125.0,0.8353096179183136,6.0,728.0,368.0,2.0,2.0,18.1,90.6,20.0,SYNTHETIC_DEMO,42
2024-01-02,22436,Vande Bharat Express,Vande Bharat,winter,1,0,1,NDLS,BSB,DOWN,BSB,3,4,0,759.0,759.0,0.0,0.0,1.0,6.0,840.0,480.0,4.0,0.0,20.0,63.2,20.0,SYNTHETIC_DEMO,42
2024-01-03,22436,Vande Bharat Express,Vande Bharat,winter,2,0,1,NDLS,BSB,DOWN,NDLS,0,4,3,0.0,759.0,759.0,440.0,0.0,6.0,360.0,0.0,0.0,0.0,14.1,64.4,13.8,SYNTHETIC_DEMO,42
2024-01-03,22436,Vande Bharat Express,Vande Bharat,winter,2,0,1,NDLS,BSB,DOWN,CNB,1,4,2,440.0,759.0,319.0,194.0,0.5797101449275363,6.0,608.0,248.0,0.0,2.0,13.8,110.8,13.4,SYNTHETIC_DEMO,42
2024-01-03,22436,Vande Bharat Express,Vande Bharat,winter,2,0,1,NDLS,BSB,DOWN,PRYJ,2,4,1,634.0,759.0,125.0,125.0,0.8353096179183136,6.0,728.0,368.0,2.0,2.0,13.4,72.9,13.0,SYNTHETIC_DEMO,42
2024-01-03,22436,Vande Bharat Express,Vande Bharat,winter,2,0,1,NDLS,BSB,DOWN,BSB,3,4,0,759.0,759.0,0.0,0.0,1.0,6.0,840.0,480.0,4.0,0.0,13.0,82.1,13.0,SYNTHETIC_DEMO,42
2024-01-04,22436,Vande Bharat Express,Vande Bharat,winter,3,0,1,NDLS,BSB,DOWN,NDLS,0,4,3,0.0,759.0,759.0,440.0,0.0,6.0,360.0,0.0,0.0,0.0,17.5,96.9,19.1,SYNTHETIC_DEMO,42
2024-01-04,22436,Vande Bharat Express,Vande Bharat,winter,3,0,1,NDLS,BSB,DOWN,CNB,1,4,2,440.0,759.0,319.0,194.0,0.5797101449275363,6.0,608.0,248.0,0.0,2.0,19.1,94.0,24.3,SYNTHETIC_DEMO,42
2024-01-04,22436,Vande Bharat Express,Vande Bharat,winter,3,0,1,NDLS,BSB,DOWN,PRYJ,2,4,1,634.0,759.0,125.0,125.0,0.8353096179183136,6.0,728.0,368.0,2.0,2.0,24.3,87.5,19.8,SYNTHETIC_DEMO,42
2024-01-04,22436,Vande Bharat Express,Vande Bharat,winter,3,0,1,NDLS,BSB,DOWN,BSB,3,4,0,759.0,759.0,0.0,0.0,1.0,6.0,840.0,480.0,4.0,0.0,19.8,90.3,19.8,SYNTHETIC_DEMO,42
2024-01-05,22436,Vande Bharat Express,Vande Bharat,winter,4,0,1,NDLS,BSB,DOWN,NDLS,0,4,3,0.0,759.0,759.0,440.0,0.0,6.0,360.0,0.0,0.0,0.0,20.4,103.2,17.1,SYNTHETIC_DEMO,42
2024-01-05,22436,Vande Bharat Express,Vande Bharat,winter,4,0,1,NDLS,BSB,DOWN,CNB,1,4,2,440.0,759.0,319.0,194.0,0.5797101449275363,6.0,608.0,248.0,0.0,2.0,17.1,102.6,15.7,SYNTHETIC_DEMO,42
2024-01-05,22436,Vande Bharat Express,Vande Bharat,winter,4,0,1,NDLS,BSB,DOWN,PRYJ,2,4,1,634.0,759.0,125.0,125.0,0.8353096179183136,6.0,728.0,368.0,2.0,2.0,15.7,96.5,16.5,SYNTHETIC_DEMO,42
2024-01-05,22436,Vande Bharat Express,Vande Bharat,winter,4,0,1,NDLS,BSB,DOWN,BSB,3,4,0,759.0,759.0,0.0,0.0,1.0,6.0,840.0,480.0,4.0,0.0,16.5,79.3,16.5,SYNTHETIC_DEMO,42
2024-01-06,22436,Vande Bharat Express,Vande Bharat,winter,5,1,1,NDLS,BSB,DOWN,NDLS,0,4,3,0.0,759.0,759.0,440.0,0.0,6.0,360.0,0.0,0.0,0.0,22.2,88.5,18.0,SYNTHETIC_DEMO,42
2024-01-06,22436,Vande Bharat Express,Vande Bharat,winter,5,1,1,NDLS,BSB,DOWN,CNB,1,4,2,440.0,759.0,319.0,194.0,0.5797101449275363,6.0,608.0,248.0,0.0,2.0,18.0,44.8,15.4,SYNTHETIC_DEMO,42
